City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,mount pearl,47.5166,-52.7813,2.3,95,100,9.77,CA,1714327220
294,guaiba,-30.1139,-51.325,21.95,71,75,2.57,BR,1714327117
295,shahba,32.8551,36.629,19.7,64,100,1.66,SY,1714327221
296,luganville,-15.5333,167.1667,26.13,89,92,2.98,VU,1714327221
297,nova xavantina,-14.6667,-52.35,31.51,55,18,1.79,BR,1714327221
298,carrizo springs,28.5219,-99.8606,30.34,44,0,4.63,US,1714327129
299,twon-brass,4.3151,6.2418,29.26,80,98,4.87,NG,1714327222
300,launceston,-41.45,147.1667,15.45,82,88,6.69,AU,1714327222
301,jayapura,-2.5333,140.7,24.66,93,97,1.76,ID,1714327222
302,aykhal,66.0,111.5,-10.03,97,86,3.34,RU,1714327222
303,bol,13.4586,14.7147,29.78,44,27,2.93,TD,1714327222
304,newport,51.5877,-2.9984,12.1,66,73,7.01,GB,1714327223
305,haiku-pauwela,20.9219,-156.3051,24.47,84,20,3.09,US,1714327223
306,petrolina,-9.3986,-40.5008,32.03,48,40,3.09,BR,1714326786
307,smithfield,41.922,-71.5495,18.14,76,100,3.09,US,1714327205
308,dazhong,33.1997,120.4578,12.59,96,100,3.17,CN,1714327223
309,sukhobezvodnoye,57.0491,44.8891,7.58,85,100,2.08,RU,1714327223
310,mancha real,37.7863,-3.6123,16.94,49,74,2.72,ES,1714327224
311,new norfolk,-42.7826,147.0587,16.07,70,88,4.0,AU,1714327224
312,graneros,-34.0667,-70.7333,12.1,62,75,3.09,CL,1714327224
313,nova vicosa,-17.8919,-39.3719,27.79,64,4,3.47,BR,1714327130
314,sechura,-5.5569,-80.8222,27.56,56,21,3.8,PE,1714327224
315,san pedro pochutla,15.7333,-96.4667,34.05,39,15,4.87,MX,1714327224
316,kharan,28.5833,65.4167,21.92,20,9,4.56,PK,1714327225
317,thoothukudi,8.8054,78.1453,30.61,71,98,4.44,IN,1714327225
318,seka,17.9285,103.9552,34.46,25,54,3.4,TH,1714327225
319,tralee,52.2704,-9.7026,11.14,76,75,5.66,IE,1714327225
320,iglesias,39.3114,8.535,19.85,40,17,3.38,IT,1714327226
321,tazacorte,28.629,-17.9293,19.54,69,20,6.17,ES,1714327226
322,chibougamau,49.9168,-74.3659,1.79,87,100,7.2,CA,1714327226
